Account,Date,Channel,Units,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
2716743003 STOP SHOPOP   #090,9/11/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2716743003 STOP SHOPOP   #090,9/12/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2716743003 STOP SHOPOP   #090,9/13/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2716743003 STOP SHOPOP   #090,9/14/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2716743003 STOP SHOPOP   #090,9/15/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2716743003 STOP SHOPOP   #090,9/16/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2716743003 STOP SHOPOP   #090,9/17/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2716743003 STOP SHOPOP   #090,9/18/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2716743003 STOP SHOPOP   #090,9/19/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2716743003 STOP SHOPOP   #090,9/20/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2716743003 STOP SHOPOP   #090,9/21/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2716743003 STOP SHOPOP   #090,9/22/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2716743003 STOP SHOPOP   #090,9/23/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2716743003 STOP SHOPOP   #090,9/24/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2716743003 STOP SHOPOP   #090,9/25/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2716743003 STOP SHOPOP   #090,9/26/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2716743003 STOP SHOPOP   #090,9/27/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2716743003 STOP SHOPOP   #090,9/28/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2716743003 STOP SHOPOP   #090,9/29/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2716743003 STOP SHOPOP   #090,9/30/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2716743003 STOP SHOPOP   #090,10/1/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
