Account,Date,Channel,Units,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
29468480016,1/30/2019,605113799 1 kWh,kWh,89.136000,91.836002,92.820002,95.262002,90.402001,89.910001,91.440001,80.508001,80.730000,84.048001,85.716001,83.862000,82.320001,80.856000,90.534000,90.432001,88.830001,88.212000,90.780001,86.658001,83.016000,81.072001,87.318000,83.772001
29468480016,1/30/2019,605113799 1 Power Factor,Power Factor,0.965547,0.963917,0.953602,0.947099,0.958469,0.964339,0.960325,0.942113,0.953038,0.929907,0.930199,0.932909,0.930043,0.936533,0.941703,0.945541,0.952034,0.955897,0.959039,0.975247,0.973167,0.965247,0.954950,0.967874
29468480016,1/30/2019,605113799 2,kVARh,24.000000,25.344000,29.226000,32.262001,26.814000,24.654000,26.502000,28.512000,25.656000,33.210000,33.810000,32.346000,32.508001,30.288000,32.322000,31.134001,28.572001,27.030000,26.736000,19.632000,19.608000,21.792000,27.114000,21.744000
29468480016,1/31/2019,605113799 1 kWh,kWh,89.466001,88.914001,90.102001,95.238000,90.930001,91.422001,89.172000,87.816001,95.232001,95.400001,100.278002,95.658001,98.922001,100.464001,96.246001,91.986000,94.884001,96.564000,92.544001,85.668000,85.992001,87.324000,88.920002,84.570001
29468480016,1/31/2019,605113799 1 Power Factor,Power Factor,0.968939,0.965830,0.965487,0.965277,0.967085,0.965296,0.957617,0.945769,0.943276,0.938948,0.945421,0.949309,0.954942,0.957317,0.953651,0.951408,0.960053,0.964311,0.961821,0.964877,0.959450,0.957173,0.963372,0.957944
29468480016,1/31/2019,605113799 2,kVARh,22.788000,23.838000,24.246000,25.728000,23.844000,24.624000,26.754000,30.144001,33.390000,34.926000,34.518000,31.626000,30.654000,30.270000,30.294000,29.694000,27.498000,26.502001,26.268000,23.262000,25.212000,26.388000,24.750000,25.314000
29468480016,2/1/2019,605113799 1 kWh,kWh,88.266001,89.334001,88.068000,83.712001,85.080001,82.626000,91.440001,94.092002,85.074001,89.376001,92.472001,94.668002,90.264001,92.232000,87.330000,81.912001,87.708001,83.262000,84.312001,86.658001,82.386000,77.952001,63.918000,54.540000
29468480016,2/1/2019,605113799 1 Power Factor,Power Factor,0.968555,0.971627,0.966019,0.968703,0.967772,0.963030,0.961924,0.949630,0.940672,0.948842,0.948626,0.954745,0.947348,0.948080,0.948296,0.950118,0.957324,0.957281,0.958047,0.966106,0.957362,0.948368,0.949637,0.948132
29468480016,2/1/2019,605113799 2,kVARh,22.614000,21.648000,23.562000,21.348000,22.104000,23.028000,25.860000,30.780000,30.666000,29.580000,30.828001,29.472000,30.474000,30.948000,29.154000,26.862000,26.412000,25.140000,25.206000,23.094000,24.738000,26.040000,21.012000,18.294000
29468480016,2/2/2019,605113799 1 kWh,kWh,55.998001,60.240001,59.436000,54.912001,53.952000,53.052001,58.080000,74.604001,75.204001,77.442000,75.528000,78.414001,76.062001,71.514001,66.990001,51.767999,51.936001,51.744000,51.588001,49.248001,49.146000,47.178001,48.912000,48.432000
29468480016,2/2/2019,605113799 1 Power Factor,Power Factor,0.940851,0.928503,0.934501,0.944882,0.948040,0.951996,0.958276,0.959697,0.956656,0.953962,0.950860,0.958229,0.954013,0.948143,0.951371,0.930956,0.944244,0.948712,0.951063,0.955319,0.954990,0.964677,0.957401,0.957910
29468480016,2/2/2019,605113799 2,kVARh,20.202000,24.090000,22.644000,19.020000,18.108000,17.064000,17.070000,21.738001,22.872000,24.294001,24.486000,23.358000,23.880000,23.904000,21.666000,20.238000,18.102000,17.250000,16.776000,15.228000,15.264000,12.882000,14.748000,14.514000
29468480016,2/3/2019,605113799 1 kWh,kWh,46.530000,48.528000,48.366001,46.542001,48.240000,48.846000,71.766001,78.318000,75.204001,80.118001,82.578001,79.848001,78.870000,75.642001,68.076001,52.776000,49.434001,48.960000,49.020000,46.338001,46.434001,44.238000,45.996001,46.122000
29468480016,2/3/2019,605113799 1 Power Factor,Power Factor,0.968121,0.958556,0.958588,0.967603,0.960636,0.957517,0.970994,0.969882,0.965243,0.965816,0.965754,0.961463,0.964099,0.959616,0.952766,0.935091,0.945372,0.947946,0.946569,0.951607,0.951947,0.963326,0.955365,0.954274
29468480016,2/3/2019,605113799 2,kVARh,12.030000,14.418000,14.370000,12.138000,13.944000,14.718000,17.514000,19.626000,20.274000,21.432000,22.170000,22.764000,21.690000,22.134000,21.606000,19.836000,17.046000,16.452000,16.704000,14.964000,14.940000,12.318000,14.220000,14.448000
29468480016,2/4/2019,605113799 1 kWh,kWh,55.824001,69.414001,69.804001,70.134000,71.616001,75.756001,79.056000,77.958000,87.114001,90.612000,92.592000,92.508001,95.574000,91.782000,84.654000,89.154001,90.654000,85.848001,87.126001,79.338000,76.854000,88.578001,84.552001,92.994001
29468480016,2/4/2019,605113799 1 Power Factor,Power Factor,0.974756,0.976513,0.975582,0.973337,0.971648,0.965584,0.960935,0.950571,0.934476,0.946458,0.950291,0.951613,0.955224,0.955640,0.949872,0.952213,0.965929,0.966326,0.967417,0.972702,0.965619,0.961840,0.958950,0.953817
29468480016,2/4/2019,605113799 2,kVARh,12.378000,15.252000,15.678000,16.458000,17.340000,20.388000,22.740000,25.434000,33.096001,30.804000,30.246000,29.814000,29.556001,28.218000,27.756000,28.560000,24.204000,22.800000,22.662000,18.804000,20.586000,25.236000,25.056000,29.244001
29468480016,2/5/2019,605113799 1 kWh,kWh,85.446001,86.244000,88.788001,83.874001,86.562000,81.528001,85.212001,82.254001,78.294001,76.650001,78.996001,84.444000,84.654001,87.048000,85.800001,83.328001,86.574001,84.804002,87.642000,81.750001,81.318000,81.606001,83.922001,89.280001
29468480016,2/5/2019,605113799 1 Power Factor,Power Factor,0.963236,0.959514,0.960527,0.955202,0.960672,0.957518,0.963755,0.964362,0.960248,0.960241,0.962794,0.960650,0.960153,0.959139,0.952376,0.950476,0.952911,0.957337,0.962494,0.971077,0.963112,0.954905,0.956054,0.947096
29468480016,2/5/2019,605113799 2,kVARh,23.760000,25.290001,25.680000,25.920000,24.990000,24.528000,23.502000,22.464000,22.698000,22.278000,22.098000,24.318000,24.618000,25.656000,27.420000,27.222000,27.432000,25.548000,24.666000,20.052000,22.674000,25.380000,25.692000,30.228000
29468480016,2/6/2019,605113799 1 kWh,kWh,85.440001,85.290001,81.486001,82.134000,79.698000,80.940001,86.370000,89.412001,93.636000,90.066001,81.156001,82.458002,86.316001,88.278001,85.866001,86.904001,89.682002,83.268001,84.432001,78.216000,81.744000,79.404001,86.268001,89.340001
29468480016,2/6/2019,605113799 1 Power Factor,Power Factor,0.949715,0.955180,0.962642,0.953059,0.954528,0.957296,0.961051,0.953558,0.942624,0.951548,0.960773,0.965240,0.962922,0.961962,0.961695,0.966391,0.972219,0.967534,0.958281,0.965268,0.961074,0.959145,0.959950,0.948298
29468480016,2/6/2019,605113799 2,kVARh,28.164000,26.436000,22.932000,26.040000,24.882000,24.432000,24.774000,28.200001,33.012001,29.070000,23.364000,22.242000,24.108000,25.026000,24.426000,23.094000,21.522000,21.708000,25.188000,21.138000,23.460000,23.382000,25.140000,29.868001
29468480016,2/7/2019,605113799 1 kWh,kWh,85.938001,91.572001,84.648001,81.402000,83.982001,83.214000,82.128001,87.282002,83.586001,85.320000,84.432001,85.992001,83.496001,82.302001,86.328000,85.626001,93.360001,90.648001,86.664001,83.436001,77.724000,89.352000,86.616001,83.862001
29468480016,2/7/2019,605113799 1 Power Factor,Power Factor,0.962941,0.963816,0.961949,0.953381,0.959506,0.961556,0.956365,0.948727,0.953919,0.958668,0.949451,0.952889,0.954252,0.950282,0.952136,0.950679,0.961591,0.960485,0.961196,0.965986,0.958061,0.960347,0.958224,0.960467
29468480016,2/7/2019,605113799 2,kVARh,24.036000,25.308000,24.018000,25.710000,24.624000,23.754000,25.026000,28.998000,26.232000,25.254000,27.882001,27.318000,26.100000,26.910000,27.672000,27.846000,26.586000,26.142000,24.768000,22.206001,23.178000,25.956000,25.830000,24.294000
29468480016,2/8/2019,605113799 1 kWh,kWh,88.500001,89.178001,88.884001,86.316000,84.186001,89.400001,80.460001,76.871999,78.390000,80.052001,85.704001,87.390001,89.178001,83.928001,91.710000,93.894001,94.368000,83.046000,79.644001,72.288001,69.396000,63.198001,58.086000,47.670000
29468480016,2/8/2019,605113799 1 Power Factor,Power Factor,0.963554,0.963455,0.961379,0.957685,0.957908,0.946465,0.946251,0.953928,0.955156,0.958075,0.953780,0.954413,0.954367,0.949329,0.957380,0.959782,0.965233,0.969955,0.967515,0.972907,0.967419,0.963851,0.959213,0.949120
29468480016,2/8/2019,605113799 2,kVARh,24.546000,24.696000,25.422000,25.926000,25.146000,30.450001,27.492000,24.078000,24.258000,23.910000,26.940000,27.270000,27.876000,27.666000,27.594000,27.426000,25.524000,20.802000,20.790000,17.016000,18.132000,17.454000,16.932000,15.822000
29468480016,2/9/2019,605113799 1 kWh,kWh,47.142001,46.818000,46.692000,46.362001,46.248000,47.178001,58.752001,70.854001,69.606001,72.966000,72.912001,75.306001,68.688000,61.686001,59.190001,52.056000,48.996001,49.470000,49.914001,53.274000,53.838000,51.072001,51.162000,48.294000
29468480016,2/9/2019,605113799 1 Power Factor,Power Factor,0.949350,0.950183,0.951155,0.952342,0.954162,0.952151,0.955416,0.950199,0.945782,0.952533,0.955521,0.956387,0.949217,0.939771,0.937228,0.926144,0.936901,0.941368,0.941665,0.954510,0.956421,0.961844,0.944462,0.940885
29468480016,2/9/2019,605113799 2,kVARh,15.612000,15.360000,15.156000,14.850000,14.502000,15.144000,17.994000,23.154000,23.892000,23.286000,22.440000,22.866000,22.734000,22.380000,22.020000,21.078000,18.270000,17.742000,17.844000,16.362000,16.422000,14.508000,17.760000,17.388000
29468480016,2/10/2019,605113799 1 kWh,kWh,45.912000,47.928001,47.958000,46.272000,47.832000,48.180000,63.660001,79.758001,79.536001,71.178000,63.582000,60.096001,60.438000,63.432001,56.328000,46.476001,48.468001,48.864000,49.200000,48.954000,48.576000,53.598000,56.094000,54.138000
29468480016,2/10/2019,605113799 1 Power Factor,Power Factor,0.950398,0.941241,0.940687,0.949290,0.941880,0.940039,0.953911,0.960560,0.952942,0.946650,0.954289,0.957359,0.954822,0.957535,0.947771,0.931415,0.943505,0.944330,0.944015,0.939532,0.943487,0.940565,0.931581,0.933053
29468480016,2/10/2019,605113799 2,kVARh,15.024000,17.202000,17.298000,15.330000,17.070000,17.484000,19.212000,22.926000,25.212000,24.150000,19.842000,18.072000,18.714000,19.092000,18.726000,18.156000,16.998000,17.022000,17.184000,17.844000,17.064000,19.512000,21.912001,20.862000
