Account,Date,Channel,Units,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
29623140018,7/18/2018,605118378 1 kWh,kWh,309.209991,314.339994,306.119993,314.249992,325.079994,324.629990,321.209995,360.389994,389.039995,432.059990,437.699993,437.999996,434.279991,449.309990,468.299988,451.139992,459.959995,444.779991,434.069988,437.999992,440.339993,417.929989,413.039986,338.759993
29623140018,7/18/2018,605118378 1 Power Factor,Power Factor,0.960376,0.960753,0.961168,0.965818,0.965710,0.964053,0.962705,0.967277,0.969244,0.969845,0.966791,0.965231,0.964723,0.963336,0.966746,0.962991,0.967469,0.966575,0.964359,0.966241,0.968716,0.966179,0.967649,0.961363
29623140018,7/18/2018,605118378 2,kVARh,89.399998,90.659997,87.869998,84.119998,87.029998,89.369998,90.149998,94.229999,97.799998,108.240000,115.649997,118.499998,118.410000,124.859996,123.659997,125.819996,120.149998,117.899996,118.949998,116.549998,112.769995,111.299999,107.639998,95.819998
29623140018,7/19/2018,605118378 1 kWh,kWh,294.629997,282.119995,281.309994,281.459995,290.939995,283.079994,303.449995,361.649994,403.709991,406.379988,437.729996,415.469990,423.449989,455.339993,463.049984,420.269993,454.559990,461.609989,424.349987,414.389990,420.899986,418.889994,415.619984,329.249994
29623140018,7/19/2018,605118378 1 Power Factor,Power Factor,0.957698,0.957066,0.961007,0.961607,0.962892,0.963848,0.965531,0.971009,0.973674,0.966875,0.969155,0.964330,0.966173,0.968896,0.968596,0.961675,0.968489,0.970493,0.966180,0.964888,0.968535,0.968709,0.967511,0.959005
29623140018,7/19/2018,605118378 2,kVARh,88.319999,85.259999,80.879999,80.309998,81.509998,78.269998,81.659998,88.349998,94.289998,107.159996,110.999998,113.759995,112.769999,115.919997,118.739998,119.519997,116.819998,114.569997,113.069996,112.529999,107.999997,106.799998,108.419998,96.749998
29623140018,7/20/2018,605118378 1 kWh,kWh,300.269993,299.759995,301.499990,299.819990,298.109989,299.249992,309.539993,365.099995,429.809986,404.699987,466.709995,458.939995,454.409988,460.889992,481.619984,472.649982,483.149994,477.539989,456.299984,437.399990,445.619987,441.869987,422.519989,329.699993
29623140018,7/20/2018,605118378 1 Power Factor,Power Factor,0.959452,0.959079,0.962585,0.962955,0.963342,0.962522,0.965106,0.969137,0.973212,0.965251,0.968459,0.965557,0.962915,0.962002,0.967321,0.959964,0.965279,0.967991,0.965037,0.964796,0.967583,0.965952,0.965016,0.954354
29623140018,7/20/2018,605118378 2,kVARh,88.079998,88.319999,84.719997,83.819998,82.889998,84.239998,83.909999,91.769999,101.369999,108.719997,119.939998,123.569998,127.199998,130.589996,126.149997,137.339996,130.649999,123.719997,123.629997,118.919996,116.189999,118.319997,114.779999,102.539999
29623140018,7/21/2018,605118378 1 kWh,kWh,296.399990,285.869995,316.439993,308.669992,304.499994,309.839993,323.549994,398.939991,440.639988,419.129995,438.839993,456.599987,428.669987,444.629993,478.079998,453.389992,478.769985,471.269997,459.749992,465.089989,448.979980,442.649994,422.279991,335.969992
29623140018,7/21/2018,605118378 1 Power Factor,Power Factor,0.953039,0.950366,0.960989,0.960648,0.960664,0.965247,0.966768,0.972790,0.973186,0.965829,0.966966,0.967536,0.964867,0.963853,0.967405,0.961778,0.964282,0.965777,0.964171,0.963318,0.968166,0.970079,0.967506,0.958082
