Account,Date,Channel,Units,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
9102996055 NV LITTLEFIELD LLC7,7/25/2018,1 kWh,kWh,101.010000,96.180000,96.600000,93.030000,140.910000,225.330000,234.570000,266.700000,307.440000,311.640000,311.220000,317.100000,331.170000,340.410000,334.950000,332.640000,296.940000,285.180000,266.280000,241.080000,231.210000,210.210000,129.150000,120.330000
9102996055 NV LITTLEFIELD LLC7,7/25/2018,1 Power Factor,Power Factor,83.652978,83.264510,82.753822,82.649108,89.232746,96.159657,96.055515,95.108092,93.621839,92.879328,93.161887,93.268182,94.149793,92.631693,90.322136,90.878116,92.039592,91.881343,91.145410,91.189274,93.719069,94.852454,88.497018,88.567349
9102996055 NV LITTLEFIELD LLC7,7/25/2018,2,kVAh,120.750000,115.500000,116.760000,112.560000,154.770000,234.360000,244.230000,280.560000,328.440000,335.580000,334.110000,339.990000,351.750000,367.500000,370.860000,366.030000,322.770000,310.380000,292.110000,264.390000,246.960000,220.920000,145.950000,135.870000
9102996055 NV LITTLEFIELD LLC7,7/26/2018,1 kWh,kWh,108.990000,106.260000,104.790000,98.910000,140.490000,227.850000,238.140000,263.130000,304.500000,304.080000,322.560000,328.860000,323.190000,337.470000,356.790000,334.110000,322.140000,280.560000,248.010000,234.570000,229.110000,226.590000,124.320000,110.460000
9102996055 NV LITTLEFIELD LLC7,7/26/2018,1 Power Factor,Power Factor,86.236855,85.630182,85.748602,84.281736,89.189867,97.310173,96.683032,95.746088,94.538613,94.703132,93.861080,93.494599,93.556634,93.106134,90.961480,92.718063,92.065888,92.410403,93.736101,94.766576,95.546105,95.825743,88.800186,87.358153
9102996055 NV LITTLEFIELD LLC7,7/26/2018,2,kVAh,126.420000,124.110000,122.220000,117.390000,155.190000,234.150000,246.330000,274.890000,322.140000,321.090000,343.770000,351.750000,345.450000,362.460000,392.280000,360.360000,349.860000,303.870000,264.600000,247.590000,239.820000,236.460000,140.070000,126.420000
9102996055 NV LITTLEFIELD LLC7,7/27/2018,1 kWh,kWh,102.690000,102.690000,95.760000,96.810000,140.280000,226.380000,230.160000,260.400000,313.950000,315.000000,321.930000,332.010000,346.290000,349.230000,345.240000,355.110000,318.780000,294.630000,272.790000,236.670000,230.370000,207.690000,129.570000,115.710000
9102996055 NV LITTLEFIELD LLC7,7/27/2018,1 Power Factor,Power Factor,85.946606,84.474334,85.253437,85.546816,90.493843,97.380103,97.161504,95.473314,93.578704,94.403950,94.399512,93.611513,93.222327,93.214978,92.672480,91.857760,91.935169,90.816645,91.344450,92.772162,93.924064,92.970596,87.272923,86.366754
9102996055 NV LITTLEFIELD LLC7,7/27/2018,2,kVAh,119.490000,121.590000,112.350000,113.190000,152.670000,232.470000,236.880000,273.000000,335.580000,333.690000,341.040000,354.690000,371.490000,374.640000,372.540000,386.610000,346.710000,324.450000,298.830000,255.150000,245.280000,221.970000,148.470000,133.980000
9102996055 NV LITTLEFIELD LLC7,7/28/2018,1 kWh,kWh,108.360000,103.740000,97.440000,96.600000,102.480000,119.070000,107.940000,173.880000,225.330000,235.620000,240.660000,248.010000,257.880000,253.470000,189.420000,131.040000,122.220000,122.640000,108.150000,97.440000,103.950000,107.310000,104.160000,105.630000
