Account,Date,Channel,Units,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
7554298017 SEA FREEZE LTDTH CO,6/27/2018,1 kWh,kWh,149.040000,17.280000,104.280000,30.600000,75.960000,163.440000,169.320000,193.440000,353.160000,551.760000,387.480000,490.800000,377.280000,372.120000,304.200000,390.000000,461.400000,422.520000,370.320000,331.440000,285.120000,243.240000,167.400000,31.440000
7554298017 SEA FREEZE LTDTH CO,6/27/2018,1 Power Factor,Power Factor,73.269883,66.349501,69.762800,65.264128,68.351101,71.586610,73.887833,75.090669,83.413513,83.714694,82.786605,83.494354,84.783240,83.313513,80.258164,82.399576,83.011749,83.108049,82.764437,80.963010,79.243494,80.346163,73.875108,66.957650
7554298017 SEA FREEZE LTDTH CO,6/27/2018,2,kVAh,200.040000,26.040000,134.520000,46.320000,111.000000,226.920000,229.080000,256.440000,422.280000,657.960000,467.880000,587.760000,444.960000,446.520000,374.640000,473.160000,556.200000,508.320000,447.000000,408.360000,359.640000,302.880000,208.320000,46.320000
7554298017 SEA FREEZE LTDTH CO,6/28/2018,1 kWh,kWh,97.800000,33.240000,94.560000,31.200000,45.000000,79.560000,222.240000,236.520000,408.840000,378.000000,474.600000,633.960000,591.960000,423.720000,378.360000,357.000000,396.000000,383.040000,367.800000,308.400000,212.880000,169.080000,61.080000,26.760000
7554298017 SEA FREEZE LTDTH CO,6/28/2018,1 Power Factor,Power Factor,72.328383,67.835289,69.369597,65.524484,71.025739,66.884985,76.246984,76.670446,82.498847,82.874131,83.507253,84.266315,83.555868,83.717570,83.376027,83.997803,83.650886,83.340993,82.214063,82.569946,78.411655,73.659820,68.133803,69.124327
7554298017 SEA FREEZE LTDTH CO,6/28/2018,2,kVAh,127.560000,48.480000,124.320000,46.200000,61.560000,109.320000,289.320000,306.360000,495.240000,456.000000,568.080000,752.400000,708.480000,506.040000,453.840000,425.400000,473.400000,459.720000,447.360000,374.040000,268.920000,228.360000,86.520000,38.880000
7554298017 SEA FREEZE LTDTH CO,6/29/2018,1 kWh,kWh,107.760000,27.240000,37.680000,100.200000,20.160000,169.440000,227.040000,225.960000,306.360000,349.440000,286.800000,157.080000,86.040000,153.840000,300.000000,278.400000,214.080000,27.840000,31.080000,32.880000,35.400000,31.440000,30.960000,31.200000
7554298017 SEA FREEZE LTDTH CO,6/29/2018,1 Power Factor,Power Factor,74.438330,67.611199,67.997605,71.762665,69.470556,76.539626,79.429003,80.881039,80.875905,81.841829,79.245194,73.789049,75.528336,81.929809,84.929090,84.414132,81.557584,62.416021,62.646148,64.180173,66.072970,65.136462,67.102545,66.622237
7554298017 SEA FREEZE LTDTH CO,6/29/2018,2,kVAh,138.000000,39.600000,54.000000,129.600000,28.680000,217.080000,283.440000,278.760000,378.720000,426.720000,356.040000,212.760000,117.600000,187.920000,353.280000,329.760000,257.520000,43.560000,47.280000,49.320000,51.240000,46.920000,44.880000,44.880000
7554298017 SEA FREEZE LTDTH CO,6/30/2018,1 kWh,kWh,58.440000,17.520000,29.040000,30.840000,29.040000,30.000000,29.520000,186.720000,150.600000,227.760000,97.440000,54.600000,55.920000,47.760000,39.000000,39.960000,33.360000,36.600000,41.760000,45.360000,34.800000,34.440000,34.680000,31.800000
7554298017 SEA FREEZE LTDTH CO,6/30/2018,1 Power Factor,Power Factor,68.809179,61.866111,65.082736,67.150163,65.496055,63.171525,64.150327,82.449203,84.301469,82.537943,82.816852,83.067662,82.958831,79.017717,69.209847,71.453792,64.395740,66.098151,66.306520,67.215771,64.210364,64.581877,66.711381,66.371238
7554298017 SEA FREEZE LTDTH CO,6/30/2018,2,kVAh,79.440000,28.320000,42.720000,43.800000,42.720000,45.120000,45.240000,222.960000,177.000000,273.120000,115.800000,65.640000,67.920000,59.640000,52.920000,53.760000,48.600000,51.960000,59.280000,62.640000,50.640000,49.920000,48.600000,45.600000
7554298017 SEA FREEZE LTDTH CO,7/1/2018,1 kWh,kWh,32.640000,30.960000,31.440000,28.320000,29.880000,26.760000,41.040000,439.440000,660.240000,578.040000,456.000000,416.280000,334.080000,378.600000,530.400000,602.280000,535.320000,412.680000,526.560000,471.120000,368.640000,346.320000,274.440000,285.840000
