Account,Date,Channel,Units,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
6285403014 BERKSHIRE RETIREMENT,10/29/2018,1 kWh,kWh,34.92,34.92,36.18,35.01,36.81,39.15,49.23,56.25,55.89,56.07,54.99,54.0,56.52,52.83,49.86,48.87,54.27,52.11,50.58,46.62,45.45,38.34,36.9,34.02
6285403014 BERKSHIRE RETIREMENT,10/30/2018,1 kWh,kWh,34.83,35.73,35.1,34.65,38.7,39.87,48.24,52.38,56.07,54.0,51.66,54.45,53.91,51.75,49.5,46.89,50.13,50.22,47.16,45.0,43.02,39.42,37.53,35.1
6285403014 BERKSHIRE RETIREMENT,10/31/2018,1 kWh,kWh,37.08,36.99,38.97,38.25,39.69,41.94,48.96,50.67,55.17,54.27,54.0,52.92,58.59,54.36,52.74,50.94,52.38,53.28,52.56,48.33,45.72,40.95,42.21,41.4
6285403014 BERKSHIRE RETIREMENT,11/1/2018,1 kWh,kWh,37.08,37.26,36.18,35.55,39.87,43.11,54.36,60.84,60.03,59.31,58.5,59.04,58.95,60.03,55.62,55.53,56.79,56.34,55.35,50.58,47.79,41.85,38.7,37.17
6285403014 BERKSHIRE RETIREMENT,11/2/2018,1 kWh,kWh,37.98,40.14,36.72,35.37,39.24,43.2,50.67,58.05,59.67,62.01,58.5,57.78,57.42,55.8,54.99,54.99,54.27,55.08,53.1,49.77,46.44,39.51,37.89,37.17
6285403014 BERKSHIRE RETIREMENT,11/3/2018,1 kWh,kWh,38.61,38.79,38.88,37.98,39.24,42.66,50.76,54.72,58.05,51.66,51.93,51.66,48.42,52.02,47.34,47.07,48.33,48.42,46.53,42.3,41.13,38.52,37.44,34.11
6285403014 BERKSHIRE RETIREMENT,11/4/2018,1 kWh,kWh,34.83,35.82,32.85,36.81,38.43,41.49,45.63,48.42,50.13,47.16,46.71,49.05,49.5,49.95,48.42,51.39,50.13,51.48,52.11,47.79,43.11,40.5,35.37,36.36
6285403014 BERKSHIRE RETIREMENT,11/5/2018,1 kWh,kWh,34.74,34.83,34.56,34.92,38.34,40.41,49.86,51.93,54.45,53.46,52.74,54.0,53.28,51.48,51.48,48.15,51.93,49.86,51.3,47.43,42.66,37.08,34.2,35.82
6285403014 BERKSHIRE RETIREMENT,11/6/2018,1 kWh,kWh,34.56,34.11,34.92,33.12,36.72,41.31,49.86,52.11,52.83,50.4,52.83,56.52,55.08,50.31,55.26,55.98,56.07,55.08,53.91,47.88,41.13,34.2,32.76,31.68
6285403014 BERKSHIRE RETIREMENT,11/7/2018,1 kWh,kWh,33.3,31.95,31.23,31.68,35.46,40.41,43.92,48.42,53.28,50.94,49.95,55.17,54.45,53.64,50.49,49.5,47.88,50.04,45.99,43.11,40.5,37.8,34.74,34.02
6285403014 BERKSHIRE RETIREMENT,11/8/2018,1 kWh,kWh,34.56,35.64,35.37,35.01,37.71,40.95,48.69,53.19,53.64,50.49,51.66,52.11,49.5,49.41,46.89,46.35,47.43,48.6,49.86,43.74,42.84,36.99,34.29,32.22
6285403014 BERKSHIRE RETIREMENT,11/9/2018,1 kWh,kWh,34.83,33.75,35.01,34.74,39.87,42.93,45.9,49.23,52.65,50.13,49.32,47.88,50.94,50.49,47.43,48.24,49.86,48.96,47.34,45.18,39.51,37.08,34.83,33.84
6285403014 BERKSHIRE RETIREMENT,11/10/2018,1 kWh,kWh,32.04,32.49,32.58,32.94,35.91,39.78,45.9,49.77,48.51,48.24,47.25,48.42,46.98,44.01,42.03,42.57,45.18,47.25,46.53,41.85,39.42,37.44,34.47,33.93
6285403014 BERKSHIRE RETIREMENT,11/11/2018,1 kWh,kWh,31.95,33.03,32.13,33.57,38.07,40.05,47.97,49.41,50.22,48.6,48.78,48.96,48.06,47.79,43.29,45.36,46.26,49.59,45.54,44.1,40.68,38.43,36.36,35.91
6285403014 BERKSHIRE RETIREMENT,11/12/2018,1 kWh,kWh,33.66,35.46,33.57,34.2,37.53,40.59,46.62,47.88,52.83,51.93,49.86,50.04,47.25,47.79,48.87,47.16,47.61,48.87,45.63,44.1,40.05,35.28,33.66,33.21
6285403014 BERKSHIRE RETIREMENT,11/13/2018,1 kWh,kWh,32.04,32.58,32.13,32.76,36.0,39.69,46.98,53.55,53.73,48.6,49.41,51.75,48.6,48.6,46.26,45.72,48.87,49.5,45.9,43.56,39.42,37.35,34.83,33.48
6285403014 BERKSHIRE RETIREMENT,11/14/2018,1 kWh,kWh,34.02,34.92,33.57,33.93,37.26,39.6,47.43,52.29,51.21,49.95,49.14,49.05,48.51,47.61,45.63,44.55,47.43,48.78,46.8,45.81,41.58,38.7,35.01,35.28
6285403014 BERKSHIRE RETIREMENT,11/15/2018,1 kWh,kWh,34.92,34.02,35.1,34.29,37.8,44.55,48.24,52.11,53.37,50.49,47.16,48.15,49.77,48.6,49.86,48.33,52.2,50.4,50.76,46.44,44.19,36.36,34.38,36.18
6285403014 BERKSHIRE RETIREMENT,11/16/2018,1 kWh,kWh,33.48,34.47,34.56,34.38,36.0,40.86,47.16,50.49,52.56,48.33,48.42,49.95,50.04,48.96,47.43,45.63,48.42,50.22,48.24,47.16,45.81,40.14,37.44,37.35
6285403014 BERKSHIRE RETIREMENT,11/17/2018,1 kWh,kWh,34.65,33.75,35.19,34.56,36.72,40.41,44.91,49.68,49.77,47.88,47.88,48.69,49.77,49.23,48.15,47.61,51.75,50.94,48.15,47.52,43.38,37.53,36.63,35.91
6285403014 BERKSHIRE RETIREMENT,11/18/2018,1 kWh,kWh,33.48,35.01,34.2,33.48,37.08,40.23,47.16,48.69,47.61,46.53,45.45,46.89,47.52,49.05,47.79,47.88,49.5,49.95,47.79,43.56,39.51,37.71,34.74,34.74
6285403014 BERKSHIRE RETIREMENT,11/19/2018,1 kWh,kWh,33.66,33.93,34.2,34.11,36.81,40.05,45.81,52.11,52.38,50.85,49.23,50.22,50.4,49.41,48.24,47.43,48.78,47.79,46.62,45.27,43.11,37.89,35.01,36.18
6285403014 BERKSHIRE RETIREMENT,11/20/2018,1 kWh,kWh,36.36,34.65,34.74,35.37,38.43,41.13,47.07,52.47,51.39,51.12,48.42,48.87,49.32,47.7,46.62,44.82,48.15,51.66,49.14,45.18,41.94,38.25,34.38,36.36
6285403014 BERKSHIRE RETIREMENT,11/21/2018,1 kWh,kWh,34.74,34.29,35.46,35.46,37.71,39.42,44.1,50.67,50.31,48.96,49.05,49.59,50.13,50.49,48.87,45.99,49.5,49.68,47.7,44.01,41.67,40.23,37.08,37.26
6285403014 BERKSHIRE RETIREMENT,11/22/2018,1 kWh,kWh,36.81,37.17,37.71,37.62,41.4,44.46,49.95,54.09,51.39,49.14,49.5,48.96,48.42,47.97,44.55,45.0,46.98,51.39,49.23,44.91,43.65,40.14,38.34,35.82
6285403014 BERKSHIRE RETIREMENT,11/23/2018,1 kWh,kWh,36.54,34.83,36.81,38.43,39.15,42.21,51.39,53.82,55.71,52.2,50.76,49.23,49.86,46.17,45.72,43.92,46.71,48.33,46.26,43.65,41.67,40.95,38.07,35.01
6285403014 BERKSHIRE RETIREMENT,11/24/2018,1 kWh,kWh,35.1,33.93,34.65,36.81,38.16,40.95,49.41,52.11,48.6,46.44,46.53,47.25,47.79,47.07,45.45,45.54,50.13,49.86,46.89,44.64,39.06,36.18,35.46,35.19
