Account,Date,Channel,Units,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
7696976009 DICKS SPORTING GOODS,1/8/2019,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
7696976009 DICKS SPORTING GOODS,1/9/2019,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
7696976009 DICKS SPORTING GOODS,1/10/2019,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
7696976009 DICKS SPORTING GOODS,1/11/2019,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
7696976009 DICKS SPORTING GOODS,1/12/2019,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
7696976009 DICKS SPORTING GOODS,1/13/2019,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
7696976009 DICKS SPORTING GOODS,1/14/2019,1 kWh,kWh,,,,,,,,,,,,,,78.84,79.44,79.08,87.9,91.98,91.98,90.42,90.06,80.64,26.94,24.18
7696976009 DICKS SPORTING GOODS,1/15/2019,1 kWh,kWh,24.42,24.48,24.36,24.18,24.06,26.88,36.78,50.52,58.38,84.3,83.04,82.44,79.92,79.86,81.84,81.18,87.18,91.86,90.9,90.84,91.02,81.96,24.9,22.2
7696976009 DICKS SPORTING GOODS,1/16/2019,1 kWh,kWh,22.2,22.38,22.2,22.2,22.62,24.84,27.48,48.36,52.14,81.72,77.88,78.6,79.14,78.78,79.98,81.42,90.54,92.28,92.7,92.64,91.98,81.42,45.18,25.38
7696976009 DICKS SPORTING GOODS,1/17/2019,1 kWh,kWh,24.18,24.24,24.54,24.18,24.3,28.38,30.06,51.84,55.38,84.24,81.0,80.76,81.42,80.76,80.04,80.16,87.78,91.92,91.44,91.5,91.62,80.22,25.92,24.36
7696976009 DICKS SPORTING GOODS,1/18/2019,1 kWh,kWh,24.3,24.54,24.18,24.12,24.06,26.7,29.16,53.04,56.58,83.1,81.54,80.22,78.66,79.74,79.92,83.76,88.2,88.5,88.98,88.32,88.86,79.38,24.54,22.8
7696976009 DICKS SPORTING GOODS,1/19/2019,1 kWh,kWh,22.74,22.8,23.34,22.98,22.98,24.9,27.12,47.4,51.54,82.74,79.68,78.96,78.84,78.3,78.6,84.54,89.7,89.28,90.48,90.24,91.08,80.52,25.98,24.18
7696976009 DICKS SPORTING GOODS,1/20/2019,1 kWh,kWh,24.12,24.24,24.12,24.54,24.42,24.3,28.92,47.16,48.12,53.1,82.68,81.54,79.98,80.7,80.16,80.76,87.78,90.36,89.04,47.28,22.62,22.74,23.94,25.2
7696976009 DICKS SPORTING GOODS,1/21/2019,1 kWh,kWh,25.62,25.32,27.0,28.38,28.68,45.96,94.38,85.44,81.18,82.56,84.84,84.18,86.4,85.86,85.62,85.74,91.44,95.76,94.5,95.88,95.46,81.72,26.64,26.64
7696976009 DICKS SPORTING GOODS,1/22/2019,1 kWh,kWh,27.18,27.24,27.12,35.16,38.28,35.64,45.9,50.94,54.84,81.9,82.38,81.54,81.6,80.7,81.3,80.76,84.78,89.28,88.56,89.46,89.64,80.04,25.44,23.58
7696976009 DICKS SPORTING GOODS,1/23/2019,1 kWh,kWh,24.0,23.58,23.58,25.8,26.22,28.5,41.52,47.76,56.16,83.88,80.64,80.88,80.7,80.28,80.1,82.26,88.08,89.64,89.4,88.98,89.16,78.3,24.66,22.38
7696976009 DICKS SPORTING GOODS,1/24/2019,1 kWh,kWh,22.44,22.86,22.56,22.38,22.38,22.98,24.54,46.26,48.84,79.26,77.94,77.94,77.88,79.5,85.62,85.44,86.22,89.16,86.7,85.44,85.62,78.24,25.38,23.34
7696976009 DICKS SPORTING GOODS,1/25/2019,1 kWh,kWh,23.4,23.76,23.28,23.4,23.4,25.86,26.28,46.74,53.76,80.76,78.84,78.6,79.74,78.0,78.06,76.92,82.92,90.66,89.82,90.24,89.94,78.6,24.54,22.44
7696976009 DICKS SPORTING GOODS,1/26/2019,1 kWh,kWh,22.62,22.56,22.62,22.92,24.24,25.98,50.1,48.9,55.02,84.12,81.66,80.64,80.58,80.7,80.82,82.86,86.46,89.46,88.68,88.62,88.92,79.5,25.38,22.92
7696976009 DICKS SPORTING GOODS,1/27/2019,1 kWh,kWh,22.86,22.86,22.92,22.92,23.04,24.78,27.3,50.94,48.96,56.52,87.3,84.42,83.1,79.5,78.12,80.82,86.76,89.64,88.86,55.56,35.76,22.98,23.22,22.92
7696976009 DICKS SPORTING GOODS,1/28/2019,1 kWh,kWh,22.86,22.5,22.5,22.5,22.56,26.82,39.12,49.26,54.06,85.08,81.66,83.64,83.16,81.06,80.34,82.86,87.24,94.2,91.74,91.26,92.16,82.14,27.54,25.56
7696976009 DICKS SPORTING GOODS,1/29/2019,1 kWh,kWh,25.74,25.74,25.74,25.56,25.8,30.18,31.26,52.32,54.96,87.48,83.82,82.5,82.38,83.1,81.66,81.24,90.54,90.48,90.06,91.08,89.64,81.48,30.66,29.64
7696976009 DICKS SPORTING GOODS,1/30/2019,1 kWh,kWh,28.56,28.86,28.92,29.94,29.28,29.82,32.28,50.94,49.62,80.58,79.38,81.06,80.04,80.94,79.92,79.74,82.68,89.76,89.22,89.4,89.7,81.9,30.36,28.86
7696976009 DICKS SPORTING GOODS,1/31/2019,1 kWh,kWh,29.16,29.58,29.7,29.52,29.94,30.66,42.06,52.8,56.88,84.36,84.06,84.06,84.9,85.86,86.82,83.4,85.92,95.64,95.88,92.46,94.14,86.16,34.32,30.36
7696976009 DICKS SPORTING GOODS,2/1/2019,1 kWh,kWh,32.04,32.28,32.16,31.98,32.1,35.1,34.68,53.34,52.86,84.42,85.38,85.14,85.08,84.9,84.9,84.18,83.22,90.9,92.1,92.64,92.58,82.8,31.5,27.72
7696976009 DICKS SPORTING GOODS,2/2/2019,1 kWh,kWh,29.1,29.22,29.22,29.34,29.46,32.4,32.58,49.14,48.96,82.08,81.36,81.84,80.64,81.72,81.9,81.6,82.86,91.02,90.3,90.0,90.24,82.2,31.08,29.34
7696976009 DICKS SPORTING GOODS,2/3/2019,1 kWh,kWh,28.68,29.64,29.58,29.46,29.76,29.52,29.94,53.88,49.14,48.6,79.86,80.1,80.4,81.18,80.34,81.66,81.48,90.06,93.24,90.3,90.3,90.24,88.98,90.06
7696976009 DICKS SPORTING GOODS,2/4/2019,1 kWh,kWh,89.28,87.9,86.82,86.7,86.76,87.96,88.2,79.56,77.52,75.42,76.74,75.78,76.32,75.3,76.68,77.88,78.24,85.26,84.9,86.46,86.16,77.52,43.92,23.7
7696976009 DICKS SPORTING GOODS,2/5/2019,1 kWh,kWh,22.68,22.44,22.38,22.26,22.2,24.78,24.42,40.92,44.94,78.54,77.94,76.2,74.58,74.64,73.74,76.44,76.56,85.92,84.78,84.96,85.26,77.28,24.48,22.2
7696976009 DICKS SPORTING GOODS,2/6/2019,1 kWh,kWh,22.56,22.56,22.38,22.2,22.2,22.5,25.14,46.86,50.04,79.86,79.68,79.44,80.52,80.34,78.3,76.62,81.24,88.14,87.6,87.6,87.3,79.44,44.82,25.44
7696976009 DICKS SPORTING GOODS,2/7/2019,1 kWh,kWh,23.82,24.24,24.0,24.12,24.0,24.3,26.46,47.82,49.32,80.46,79.8,80.16,80.88,81.0,79.56,85.26,89.76,90.42,89.52,90.06,91.98,86.58,91.2,91.32
7696976009 DICKS SPORTING GOODS,2/8/2019,1 kWh,kWh,90.06,88.56,90.0,89.4,88.02,85.14,86.52,88.14,83.1,77.28,76.56,77.04,78.36,78.42,81.0,81.72,81.72,87.66,87.3,88.08,89.22,81.96,27.0,24.24
7696976009 DICKS SPORTING GOODS,2/9/2019,1 kWh,kWh,24.0,24.18,24.0,24.12,24.06,27.18,29.94,51.06,52.98,85.56,83.58,82.8,82.8,81.36,80.46,80.7,79.02,86.94,88.62,90.36,89.58,79.38,25.2,22.62
7696976009 DICKS SPORTING GOODS,2/10/2019,1 kWh,kWh,22.74,22.44,22.38,22.56,22.56,24.6,26.52,47.16,47.76,53.22,83.94,82.62,81.96,82.32,81.24,81.0,82.32,92.16,91.08,58.26,35.58,22.5,22.86,22.26
7696976009 DICKS SPORTING GOODS,2/11/2019,1 kWh,kWh,22.32,22.44,22.44,22.44,23.64,26.34,28.92,52.08,53.58,83.34,84.42,85.26,87.3,84.0,83.1,81.42,80.88,90.12,87.72,88.02,87.96,79.62,26.82,24.48
7696976009 DICKS SPORTING GOODS,2/12/2019,1 kWh,kWh,24.6,24.54,24.42,24.78,24.54,26.52,39.24,50.1,52.8,84.36,80.52,80.4,80.7,80.58,80.04,80.34,86.16,88.56,88.2,88.8,51.48,22.92,22.68,22.5
7696976009 DICKS SPORTING GOODS,2/13/2019,1 kWh,kWh,22.68,22.62,24.54,25.2,24.78,27.12,29.58,48.3,51.6,80.46,81.78,83.04,81.84,79.86,79.5,81.3,81.9,89.88,88.86,90.36,90.06,80.4,26.64,24.06
7696976009 DICKS SPORTING GOODS,2/14/2019,1 kWh,kWh,24.06,24.3,24.3,24.12,24.36,26.34,40.8,47.7,50.4,83.7,82.38,82.74,82.8,80.58,79.5,77.82,79.74,89.16,90.18,89.4,89.52,81.06,26.82,24.24
7696976009 DICKS SPORTING GOODS,2/15/2019,1 kWh,kWh,24.18,24.42,24.12,24.42,24.06,24.72,26.82,50.28,51.72,81.84,81.72,85.14,80.16,78.18,80.04,79.92,80.22,85.98,87.6,89.1,88.38,79.5,25.38,22.62
