Account,Date,Channel,Units,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
7810699003 PAWTUCKET RED SOX,10/17/2018,1 kWh,kWh,90.18,95.76,96.0,92.34,90.78,94.5,93.54,91.8,105.0,122.22,137.82,137.04,145.38,139.92,134.1,126.24,121.8,117.12,109.68,109.2,112.68,108.24,107.1,104.4
7810699003 PAWTUCKET RED SOX,10/18/2018,1 kWh,kWh,105.0,107.58,108.84,105.42,106.08,107.22,109.44,106.56,110.7,119.4,135.9,134.88,140.4,137.1,130.44,121.2,112.56,113.76,104.46,103.08,104.34,100.74,102.12,99.72
7810699003 PAWTUCKET RED SOX,10/19/2018,1 kWh,kWh,100.86,104.7,106.74,100.8,103.74,105.54,114.24,107.88,120.12,117.3,133.56,140.1,138.12,146.7,140.46,119.46,111.24,110.88,107.82,107.94,111.66,108.54,109.68,107.28
7810699003 PAWTUCKET RED SOX,10/20/2018,1 kWh,kWh,106.74,111.06,111.66,105.96,107.04,105.42,111.3,106.2,105.24,100.2,101.76,107.64,106.02,114.12,111.36,96.96,97.86,101.82,104.1,103.5,104.4,105.24,102.24,100.68
7810699003 PAWTUCKET RED SOX,10/21/2018,1 kWh,kWh,100.44,101.7,103.62,100.38,98.4,99.6,101.64,99.72,101.46,93.66,95.04,95.82,98.7,100.74,103.02,95.88,96.48,95.7,103.62,103.56,106.32,102.24,109.92,102.78
7810699003 PAWTUCKET RED SOX,10/22/2018,1 kWh,kWh,102.6,104.94,108.42,101.64,104.16,103.98,112.02,113.88,123.72,119.22,123.6,132.42,150.12,149.94,145.44,112.08,111.0,106.14,97.38,96.48,98.34,95.04,95.76,89.4
7810699003 PAWTUCKET RED SOX,10/23/2018,1 kWh,kWh,91.32,92.94,94.74,91.68,89.7,90.48,97.92,97.38,103.14,98.16,115.08,118.86,119.76,115.92,117.42,100.5,94.68,91.08,94.32,97.38,99.72,94.14,97.32,89.94
7810699003 PAWTUCKET RED SOX,10/24/2018,1 kWh,kWh,88.5,94.08,93.66,87.78,92.94,88.62,96.84,94.98,102.78,98.88,109.2,111.78,116.88,119.58,112.74,100.14,97.44,93.18,96.36,97.74,97.56,94.08,96.54,87.96
7810699003 PAWTUCKET RED SOX,10/25/2018,1 kWh,kWh,88.5,89.46,94.5,86.4,91.2,91.02,98.58,95.94,102.48,105.9,110.04,115.44,112.8,115.68,110.1,104.34,105.36,101.22,102.0,98.4,103.74,94.5,96.6,90.66
7810699003 PAWTUCKET RED SOX,10/26/2018,1 kWh,kWh,90.9,92.88,96.3,90.54,94.14,96.6,99.0,98.28,108.12,105.12,107.46,120.18,116.1,119.88,120.06,104.82,101.1,96.72,92.4,91.86,95.1,93.24,92.1,86.22
7810699003 PAWTUCKET RED SOX,10/27/2018,1 kWh,kWh,86.52,87.84,87.84,84.24,88.08,87.24,98.88,126.36,147.24,138.3,146.94,152.82,150.66,150.3,145.68,126.48,98.28,82.98,86.04,87.24,90.06,85.98,88.8,81.0
7810699003 PAWTUCKET RED SOX,10/28/2018,1 kWh,kWh,81.0,82.62,82.68,78.48,81.42,81.78,101.4,146.64,146.4,135.48,139.02,139.2,138.18,119.7,109.08,100.74,104.76,102.18,84.3,83.04,87.24,85.26,85.44,77.1
7810699003 PAWTUCKET RED SOX,10/29/2018,1 kWh,kWh,78.0,81.9,81.42,77.1,78.54,80.52,86.22,85.5,94.32,92.58,99.36,101.1,102.96,104.4,101.7,92.34,94.26,87.54,87.9,86.7,87.54,88.2,87.0,79.68
7810699003 PAWTUCKET RED SOX,10/30/2018,1 kWh,kWh,80.88,84.24,81.84,81.72,80.34,82.5,88.02,85.08,92.28,94.32,101.76,113.1,118.2,121.38,120.48,98.16,97.02,88.98,85.32,84.54,84.3,85.74,85.62,77.7
7810699003 PAWTUCKET RED SOX,10/31/2018,1 kWh,kWh,78.6,81.3,81.84,81.18,80.4,85.92,89.04,95.76,104.46,96.96,106.14,120.42,126.18,125.22,133.38,127.68,125.04,118.08,121.32,121.32,117.48,113.64,113.7,104.82
7810699003 PAWTUCKET RED SOX,11/1/2018,1 kWh,kWh,104.58,105.0,107.04,102.84,101.4,102.12,108.3,108.72,118.26,112.8,129.48,124.26,126.24,121.5,107.64,87.72,85.56,77.04,79.5,81.96,86.28,84.06,83.88,77.1
7810699003 PAWTUCKET RED SOX,11/2/2018,1 kWh,kWh,76.08,79.08,79.5,78.18,76.68,76.92,82.92,82.86,93.54,89.46,108.12,113.64,114.72,124.62,130.14,125.7,121.92,120.72,120.0,113.46,120.9,116.28,102.48,94.08
7810699003 PAWTUCKET RED SOX,11/3/2018,1 kWh,kWh,95.04,98.58,99.3,93.36,91.62,91.92,96.84,96.06,97.92,90.9,86.34,85.38,88.74,91.92,92.7,89.58,87.66,90.24,93.54,97.56,99.48,100.2,100.44,92.4
7810699003 PAWTUCKET RED SOX,11/4/2018,1 kWh,kWh,91.74,92.34,91.5,90.3,90.54,91.98,94.44,100.44,95.34,89.76,90.78,90.3,95.22,91.86,89.04,87.3,88.98,88.26,97.2,102.0,100.44,99.96,99.48,93.84
7810699003 PAWTUCKET RED SOX,11/5/2018,1 kWh,kWh,93.72,95.4,94.14,92.82,93.12,92.22,99.0,100.02,109.5,103.8,109.92,118.2,123.9,114.9,110.1,113.88,108.12,102.66,98.52,101.52,100.2,100.2,100.38,93.06
7810699003 PAWTUCKET RED SOX,11/6/2018,1 kWh,kWh,94.62,98.34,92.34,92.7,93.96,93.36,97.38,110.64,117.0,117.0,118.08,124.32,124.26,124.98,114.96,121.26,176.82,201.42,176.16,97.98,93.78,92.04,93.42,86.22
7810699003 PAWTUCKET RED SOX,11/7/2018,1 kWh,kWh,87.96,86.58,84.12,85.74,83.46,85.08,87.66,91.5,93.78,91.92,98.4,109.02,110.22,108.36,101.94,98.52,92.88,85.92,95.28,92.4,90.96,89.76,91.02,81.36
7810699003 PAWTUCKET RED SOX,11/8/2018,1 kWh,kWh,85.62,87.18,82.68,83.1,85.44,83.1,87.72,91.02,90.42,92.58,99.54,94.5,99.84,102.66,98.28,97.38,92.28,85.56,95.64,95.88,91.38,93.36,93.54,84.18
7810699003 PAWTUCKET RED SOX,11/9/2018,1 kWh,kWh,86.16,87.96,84.24,85.92,84.66,85.02,90.36,93.48,95.22,96.78,101.7,99.36,106.86,123.24,118.44,117.3,141.36,226.38,228.66,227.46,152.4,111.18,112.14,104.46
