Account,Date,Channel,Units,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
465494094,10/30/2018,081001941 1 kWh,kWh,80.955,78.435,78.75,76.86,80.01,77.175,82.215,82.215,80.325,79.695,79.065,78.75,80.01,81.585,80.64,81.27,85.365,110.25,111.195,116.865,118.44,116.865,115.605,97.02
465494094,10/31/2018,081001941 1 kWh,kWh,85.68,84.105,85.05,85.995,85.365,86.94,89.775,88.515,89.46,90.405,89.145,84.105,82.53,81.9,82.53,81.585,85.68,108.675,110.565,111.825,108.675,109.305,107.1,88.2
465494094,11/1/2018,081001941 1 kWh,kWh,77.175,75.915,76.23,75.6,75.915,74.025,74.34,76.545,73.71,78.435,80.955,80.325,79.695,83.16,79.38,80.01,81.9,100.17,103.005,102.375,103.005,102.06,102.06,81.585
465494094,11/2/2018,081001941 1 kWh,kWh,69.615,69.93,80.01,80.955,79.695,70.56,71.505,70.875,74.025,74.34,73.08,73.08,73.08,74.97,74.34,74.655,77.175,97.335,98.28,98.91,99.54,99.855,96.705,80.325
465494094,11/3/2018,081001941 1 kWh,kWh,69.3,68.355,79.695,78.75,78.435,69.3,69.3,67.095,66.15,69.93,68.67,69.93,69.93,69.93,70.56,70.875,77.49,99.225,102.375,103.635,104.58,101.745,103.635,83.475
465494094,11/4/2018,081001941 1 kWh,kWh,73.395,72.765,72.45,84.42,82.53,86.94,72.765,74.34,70.56,72.765,70.56,70.56,74.34,78.12,77.805,78.75,78.75,84.735,101.745,103.635,105.84,106.785,102.375,99.54
465494094,11/5/2018,081001941 1 kWh,kWh,84.735,84.735,84.42,83.79,83.475,83.475,73.395,72.135,74.97,70.875,72.135,74.34,77.49,74.655,76.23,75.6,79.695,97.335,101.43,104.265,103.005,102.06,101.115,96.705
465494094,11/6/2018,081001941 1 kWh,kWh,85.05,80.325,82.53,80.64,81.585,80.01,69.93,70.56,71.19,75.6,73.395,76.23,73.71,75.6,74.97,80.325,82.845,97.65,102.06,100.8,101.745,102.06,97.02,95.13
465494094,11/7/2018,081001941 1 kWh,kWh,81.9,78.435,80.01,79.065,78.435,81.27,68.04,75.6,80.64,83.16,82.215,77.805,77.805,83.16,79.695,78.12,79.38,97.02,95.13,96.705,96.075,95.13,93.24,90.72
465494094,11/8/2018,081001941 1 kWh,kWh,75.915,75.915,75.285,76.23,77.49,78.12,72.135,70.245,76.86,80.955,81.585,77.805,82.215,81.585,82.845,83.475,85.05,100.485,101.115,100.8,103.635,104.265,100.17,95.445
465494094,11/9/2018,081001941 1 kWh,kWh,82.215,83.475,82.53,82.215,82.53,81.9,76.23,77.49,80.64,82.53,83.16,79.695,81.9,79.38,82.53,86.31,91.035,102.375,104.895,104.265,104.895,105.21,100.8,97.02
465494094,11/10/2018,081001941 1 kWh,kWh,82.53,84.42,79.38,83.475,79.065,82.215,68.985,71.19,67.725,73.08,71.82,78.435,80.325,79.065,80.325,78.75,83.475,101.115,108.36,109.305,109.305,107.73,104.58,101.745
465494094,11/11/2018,081001941 1 kWh,kWh,87.255,86.94,85.05,85.68,85.995,84.735,74.655,74.655,74.025,77.49,80.955,79.38,81.9,78.75,80.325,80.955,84.105,96.075,104.265,106.155,107.415,109.305,104.895,102.06
465494094,11/12/2018,081001941 1 kWh,kWh,87.885,85.365,88.2,89.46,85.995,90.72,77.49,80.01,86.31,85.365,84.42,83.16,81.9,80.955,83.79,82.53,86.625,98.28,102.69,103.005,103.95,106.155,99.855,95.445
465494094,11/13/2018,081001941 1 kWh,kWh,87.255,85.365,85.365,84.735,83.16,84.735,74.025,74.97,77.175,77.49,80.325,75.915,71.82,74.025,70.56,73.395,74.655,92.925,102.69,100.485,105.84,101.745,100.8,97.965
465494094,11/14/2018,081001941 1 kWh,kWh,85.68,83.475,83.16,84.105,81.585,83.79,74.655,77.49,84.42,86.625,88.515,86.625,86.94,87.255,86.31,90.72,93.87,108.045,109.305,111.51,109.62,110.25,110.88,103.32
465494094,11/15/2018,081001941 1 kWh,kWh,91.035,91.35,90.09,89.775,88.83,89.775,80.01,88.515,91.35,90.72,90.09,89.775,89.775,91.035,88.83,91.035,95.76,106.47,111.195,114.975,113.085,115.29,111.195,107.415
465494094,11/16/2018,081001941 1 kWh,kWh,95.445,94.5,91.98,94.815,92.925,91.665,83.16,81.9,83.16,87.57,88.2,93.24,92.61,92.61,90.72,90.09,95.445,105.84,110.88,110.88,109.62,110.565,109.62,102.375
465494094,11/17/2018,081001941 1 kWh,kWh,92.925,91.98,86.94,90.09,88.515,88.83,80.01,78.435,78.435,77.175,77.175,79.38,77.175,76.545,70.875,71.19,74.655,92.61,102.69,101.115,103.635,103.32,101.43,97.335
