Account,Date,Channel,Units,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
397382003,12/20/2018,081038381 1,kWh,397.44,393.012,385.992,398.52,408.024,440.316,456.516,469.8,488.484,539.244,562.464,570.24,552.744,548.748,547.992,543.996,521.532,514.188,494.532,498.42,505.008,451.656,443.556,424.116
397382003,12/20/2018,081038381 2,kVARh,0.0,2.916,6.156,0.0,0.0,6.372,9.72,14.688,3.78,0.0,1.836,10.8,11.556,9.828,11.88,8.748,0.648,0.0,0.0,0.0,0.0,0.0,9.396,2.808
397382003,12/20/2018,081038381 3,kWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397382003,12/20/2018,081038381 4,kVARh,21.06,21.168,21.168,17.82,12.42,2.7,0.0,0.0,23.112,24.84,4.104,0.324,0.216,4.32,0.108,2.16,14.04,19.44,28.512,26.46,30.672,34.452,9.18,8.964
397382003,12/20/2018,891795042 1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
397382003,12/20/2018,891795042 1 Power Factor,Power Factor,0.998591,0.998088,0.997497,0.9989399999999999,0.999527,0.999771,0.9997540000000001,0.9994940000000001,0.998458,0.998818,0.9999120000000001,0.9998020000000001,0.999764,0.9996379999999999,0.9997530000000001,0.9997959999999999,0.9995780000000001,0.9992719999999999,0.9983299999999999,0.99855,0.998117,0.9970950000000001,0.9989790000000001,0.9995799999999999
397382003,12/20/2018,891795042 2,kVARh,,,,,,,,,,,,,,,,,,,,,,,,
397382003,12/20/2018,891795042 3,kWh,,,,,,,,,,,,,,,,,,,,,,,,
397382003,12/20/2018,891795042 4,kVARh,,,,,,,,,,,,,,,,,,,,,,,,
397382003,12/20/2018,891795042-R1018 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,
397382003,12/20/2018,891795042-R1018 2,kVARh,,,,,,,,,,,,,,,,,,,,,,,,
397382003,12/20/2018,891795042-R1018 3,kWh,,,,,,,,,,,,,,,,,,,,,,,,
397382003,12/20/2018,891795042-R1018 4,kVARh,,,,,,,,,,,,,,,,,,,,,,,,
397382003,12/21/2018,081038381 1,kWh,392.04,392.04,390.528,388.908,394.632,422.712,447.876,471.96,519.804,538.812,554.904,563.868,543.456,548.316,556.524,552.312,530.604,496.152,481.248,501.984,453.816,442.368,442.044,427.356
397382003,12/21/2018,081038381 2,kVARh,0.0,0.0,0.0,0.0,0.0,6.372,0.0,0.0,0.216,0.0,2.268,7.128,6.156,8.532,6.588,6.696,6.912,1.08,0.0,0.0,0.432,12.096,16.308,3.672
397382003,12/21/2018,081038381 3,kWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397382003,12/21/2018,081038381 4,kVARh,20.304,14.256,16.632,16.848,17.064,11.232,23.328,18.36,11.34,10.692,2.808,0.0,1.836,1.512,11.556,13.176,2.7,5.076,24.624,6.912,30.348,15.012,0.0,1.728
397382003,12/21/2018,891795042 1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
397382003,12/21/2018,891795042 1 Power Factor,Power Factor,0.998597,0.999307,0.999081,0.999059,0.999057,0.9990110000000001,0.9986360000000001,0.999207,0.999732,0.999761,0.999943,0.9999100000000001,0.9998879999999999,0.999827,0.999387,0.999107,0.9998319999999999,0.999923,0.99869,0.999901,0.997691,0.998051,0.9993120000000001,0.9998459999999999
397382003,12/21/2018,891795042 2,kVARh,,,,,,,,,,,,,,,,,,,,,,,,
397382003,12/21/2018,891795042 3,kWh,,,,,,,,,,,,,,,,,,,,,,,,
397382003,12/21/2018,891795042 4,kVARh,,,,,,,,,,,,,,,,,,,,,,,,
397382003,12/21/2018,891795042-R1018 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,
397382003,12/21/2018,891795042-R1018 2,kVARh,,,,,,,,,,,,,,,,,,,,,,,,
397382003,12/21/2018,891795042-R1018 3,kWh,,,,,,,,,,,,,,,,,,,,,,,,
397382003,12/21/2018,891795042-R1018 4,kVARh,,,,,,,,,,,,,,,,,,,,,,,,
397382003,12/22/2018,081038381 1,kWh,400.788,401.004,400.572,399.276,399.384,426.168,445.824,453.6,480.06,530.172,536.436,556.092,551.124,551.016,547.668,549.288,538.164,490.104,487.296,479.304,455.544,454.356,446.796,420.984
