Account,Date,Channel,Units,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
554243030,12/12/2018,081149711 1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/12/2018,081149711 1 Power Factor,Power Factor,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/12/2018,081149711 2,kVARh,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/12/2018,081149711 3,kWh,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/12/2018,081149711 4,kVARh,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/12/2018,891798262-R0819 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/12/2018,891798262-R0819 2,kVARh,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/12/2018,891798262-R0819 3,kWh,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/12/2018,891798262-R0819 4,kVARh,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/13/2018,081149711 1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/13/2018,081149711 1 Power Factor,Power Factor,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/13/2018,081149711 2,kVARh,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/13/2018,081149711 3,kWh,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/13/2018,081149711 4,kVARh,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/13/2018,891798262-R0819 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/13/2018,891798262-R0819 2,kVARh,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/13/2018,891798262-R0819 3,kWh,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/13/2018,891798262-R0819 4,kVARh,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/14/2018,081149711 1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/14/2018,081149711 1 Power Factor,Power Factor,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/14/2018,081149711 2,kVARh,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/14/2018,081149711 3,kWh,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/14/2018,081149711 4,kVARh,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/14/2018,891798262-R0819 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/14/2018,891798262-R0819 2,kVARh,,,,,,,,,,,,,,,,,,,,,,,,
554243030,12/14/2018,891798262-R0819 3,kWh,,,,,,,,,,,,,,,,,,,,,,,,
