Account,Date,Channel,Units,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
202385001,8/22/2018,891975512 1 kWh,kWh,123.768,144.612,139.86,143.856,128.088,221.616,223.344,180.36,149.688,152.064,149.472,132.192,148.824,151.416,144.72,219.78,133.272,100.44,89.964,82.404,95.58,116.1,106.272,103.248
202385001,8/22/2018,891975512 1 Power Factor,Power Factor,0.8248969999999999,0.865188,0.858577,0.8614040000000001,0.839883,0.873878,0.848613,0.886977,0.905393,0.920845,0.9048379999999999,0.908233,0.904617,0.9023770000000001,0.869607,0.9336979999999999,0.857454,0.786663,0.75142,0.721446,0.725617,0.77608,0.786555,0.7784
202385001,8/22/2018,891975512 2,kVARh,83.484,83.808,83.484,84.78,82.62,120.204,138.672,93.96,70.2,64.476,70.308,60.804,70.2,72.252,79.596,83.376,79.272,78.624,78.84,78.948,88.992,93.96,83.376,83.268
202385001,8/22/2018,891975512 3,kWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202385001,8/22/2018,891975512 4,kVARh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202385001,8/23/2018,891975512 1 kWh,kWh,123.012,138.456,138.672,141.588,131.868,194.4,193.428,206.172,138.456,250.128,243.648,154.008,151.74,141.804,139.104,202.176,129.168,97.092,84.78,74.088,81.648,123.876,103.032,99.468
202385001,8/23/2018,891975512 1 Power Factor,Power Factor,0.826958,0.856482,0.857282,0.8613059999999999,0.845878,0.8505209999999999,0.8503209999999999,0.926002,0.9152600000000001,0.9579120000000001,0.963734,0.9351149999999999,0.9102309999999999,0.908417,0.864072,0.9309,0.863192,0.79076,0.7538060000000001,0.713213,0.7131390000000001,0.788845,0.7861670000000001,0.782406
202385001,8/23/2018,891975512 2,kVARh,82.296,83.376,83.268,83.484,82.836,120.852,120.852,81.756,60.696,73.98,65.988,58.32,69.012,65.34,79.704,78.624,74.196,74.952,73.872,72.792,79.272,96.444,81.0,79.164
202385001,8/23/2018,891975512 3,kWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202385001,8/23/2018,891975512 4,kVARh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202385001,8/24/2018,891975512 1 kWh,kWh,119.988,137.268,131.976,140.292,130.572,253.368,226.476,163.836,162.972,142.776,167.508,125.82,157.896,144.72,199.908,199.368,117.072,99.144,89.208,83.7,117.072,107.136,109.62,105.84
202385001,8/24/2018,891975512 1 Power Factor,Power Factor,0.8299139999999999,0.863727,0.8566,0.867764,0.8558680000000001,0.8780180000000001,0.865772,0.907499,0.9155700000000001,0.8956959999999999,0.916983,0.910742,0.910135,0.9069510000000001,0.8971530000000001,0.919861,0.8257059999999999,0.7757890000000001,0.746578,0.723037,0.759304,0.773876,0.793044,0.790047
202385001,8/24/2018,891975512 2,kVARh,79.488,80.028,79.488,80.136,78.516,131.004,128.844,72.036,68.688,69.552,70.416,57.024,71.172,66.744,96.984,81.432,79.38,80.568,79.488,79.812,98.604,87.372,84.132,82.08
202385001,8/24/2018,891975512 3,kWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202385001,8/24/2018,891975512 4,kVARh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202385001,8/25/2018,891975512 1 kWh,kWh,128.088,135.108,136.944,141.048,150.444,172.476,190.188,175.5,179.388,136.728,176.04,93.636,74.088,68.04,67.176,87.156,105.3,81.108,79.272,78.192,71.064,62.208,63.72,65.556
202385001,8/25/2018,891975512 1 Power Factor,Power Factor,0.834583,0.8511860000000001,0.854567,0.862456,0.866798,0.873123,0.9075850000000001,0.9530219999999999,0.914925,0.8527110000000001,0.9285760000000001,0.810248,0.742641,0.7110380000000001,0.708932,0.731374,0.7859470000000001,0.764416,0.754129,0.750704,0.7099770000000001,0.6642279999999999,0.670162,0.674592
202385001,8/25/2018,891975512 2,kVARh,83.484,83.16,83.16,82.728,86.292,94.068,85.104,48.924,69.768,79.272,68.904,67.068,66.744,67.284,66.852,78.192,82.296,68.364,69.012,68.796,69.984,69.984,70.524,71.712
202385001,8/25/2018,891975512 3,kWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202385001,8/25/2018,891975512 4,kVARh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202385001,8/26/2018,891975512 1 kWh,kWh,64.908,52.38,27.324,25.488,26.136,43.632,56.7,37.368,90.18,170.748,101.952,77.436,72.36,69.984,83.376,111.348,85.32,83.7,80.46,75.708,66.744,66.96,67.716,69.228
202385001,8/26/2018,891975512 1 Power Factor,Power Factor,0.676373,0.64485,0.791679,0.7882279999999999,0.800093,0.879632,0.926264,0.889109,0.870717,0.935961,0.8398899999999999,0.760691,0.728308,0.713359,0.730421,0.79704,0.7754800000000001,0.769097,0.7595430000000001,0.736755,0.6905720000000001,0.690689,0.691462,0.696005
202385001,8/26/2018,891975512 2,kVARh,70.632,61.344,21.06,19.872,19.548,21.168,22.896,19.224,51.732,64.044,64.584,65.988,67.932,68.688,76.14,84.024,69.444,69.552,68.904,69.12,69.876,70.092,70.74,71.388
202385001,8/26/2018,891975512 3,kWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202385001,8/26/2018,891975512 4,kVARh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202385001,8/27/2018,891975512 1 kWh,kWh,107.892,96.12,107.136,119.124,108.972,165.348,253.26,228.42,220.428,250.776,229.608,156.384,169.992,229.932,127.44,179.604,123.12,86.508,73.44,69.552,73.008,116.964,86.292,83.592
202385001,8/27/2018,891975512 1 Power Factor,Power Factor,0.834053,0.970662,0.9797530000000001,0.9851770000000001,0.9800639999999999,0.9056280000000001,0.95004,0.9160299999999999,0.9342389999999999,0.9455129999999999,0.940884,0.9084979999999999,0.953141,0.9649469999999999,0.9083760000000001,0.9200280000000001,0.8614870000000001,0.779225,0.7381220000000001,0.7176170000000001,0.715838,0.791738,0.76856,0.760885
202385001,8/27/2018,891975512 2,kVARh,70.632,23.544,21.924,20.628,20.52,77.976,75.384,90.72,79.164,85.428,75.168,69.228,48.168,58.968,46.116,75.6,70.092,69.444,67.068,67.5,71.064,90.18,71.82,71.28
202385001,8/27/2018,891975512 3,kWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202385001,8/27/2018,891975512 4,kVARh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
